"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IOC","EQ","03-Aug-2007","        398.00","        402.00","        404.95","        398.00","        401.05","        401.55","        402.22","     873371","           351283865.05","-","     845294","         96.79"
"IOC","EQ","06-Aug-2007","        401.55","        401.05","        404.50","        396.15","        400.00","        401.25","        402.11","     308546","           124068396.60","-","     228930","         74.20"
"IOC","EQ","07-Aug-2007","        401.25","        408.15","        434.00","        406.50","        406.50","        408.40","        412.65","     217617","            89798838.85","-","     124305","         57.12"
"IOC","EQ","08-Aug-2007","        408.40","        414.00","        414.00","        408.40","        409.95","        409.80","        409.91","      92648","            37976960.40","-","      66612","         71.90"
"IOC","EQ","09-Aug-2007","        409.80","        410.05","        412.95","        399.10","        399.50","        400.30","        405.77","      95120","            38596589.10","-","      56960","         59.88"
"IOC","EQ","10-Aug-2007","        400.30","        397.00","        402.65","        390.00","        401.95","        401.85","        397.15","     223140","            88621157.00","-","     161236","         72.26"
"IOC","EQ","13-Aug-2007","        401.85","        401.00","        405.00","        399.00","        399.95","        399.55","        401.26","      88061","            35335072.10","-","      61809","         70.19"
"IOC","EQ","14-Aug-2007","        399.55","        390.00","        401.00","        390.00","        398.25","        399.15","        400.11","     176368","            70566406.05","-","     127182","         72.11"
"IOC","EQ","16-Aug-2007","        399.15","        387.05","        399.90","        387.05","        390.00","        391.10","        393.43","     205975","            81037762.90","-","     135868","         65.96"
"IOC","EQ","17-Aug-2007","        391.10","        394.00","        394.00","        374.00","        375.00","        376.75","        380.81","     305443","           116316061.55","-","     224209","         73.40"
"IOC","EQ","20-Aug-2007","        376.75","        402.00","        410.00","        381.00","        383.90","        383.05","        385.13","     159434","            61402088.50","-","     107940","         67.70"
"IOC","EQ","21-Aug-2007","        383.05","        395.00","        395.00","        377.00","        380.00","        378.30","        381.19","     173260","            66044139.55","-","     132551","         76.50"
"IOC","EQ","22-Aug-2007","        378.30","        382.00","        384.90","        375.05","        377.70","        375.95","        377.92","     147596","            55779323.25","-","     109529","         74.21"
"IOC","EQ","23-Aug-2007","        375.95","        378.10","        382.00","        372.60","        375.50","        376.85","        377.32","     406732","           153466928.60","-","     325939","         80.14"
"IOC","EQ","24-Aug-2007","        376.85","        377.00","        377.50","        371.45","        371.45","        373.90","        374.65","     135239","            50666746.70","-","      96935","         71.68"
"IOC","EQ","27-Aug-2007","        373.90","        379.90","        380.00","        374.50","        375.85","        375.35","        376.26","     305722","           115030053.30","-","     263455","         86.17"
"IOC","EQ","28-Aug-2007","        375.35","        374.00","        390.85","        374.00","        381.50","        381.25","        382.67","     132478","            50695290.65","-","      57379","         43.31"
"IOC","EQ","29-Aug-2007","        381.25","        380.00","        392.00","        376.00","        387.00","        387.75","        383.99","     132221","            50771305.70","-","      82913","         62.71"
"IOC","EQ","30-Aug-2007","        387.75","        389.90","        392.85","        381.50","        384.90","        383.70","        386.24","     242256","            93568956.10","-","     186998","         77.19"
"IOC","EQ","31-Aug-2007","        383.70","        389.90","        390.80","        385.10","        389.00","        388.30","        388.55","     102938","            39996791.60","-","      64678","         62.83"
"IOC","EQ","03-Sep-2007","        388.30","        390.00","        394.00","        389.20","        392.00","        391.10","        392.07","      82027","            32160508.55","-","      60591","         73.87"
"IOC","EQ","04-Sep-2007","        391.10","        393.95","        404.35","        391.25","        400.30","        401.45","        398.80","     228538","            91140312.90","-","     136555","         59.75"
"IOC","EQ","05-Sep-2007","        401.45","        405.00","        407.90","        396.60","        402.00","        398.75","        399.03","     240332","            95900628.85","-","     171422","         71.33"
"IOC","EQ","06-Sep-2007","        398.75","        392.00","        406.90","        392.00","        401.20","        400.00","        402.12","     294750","           118524933.50","-","     179587","         60.93"
"IOC","EQ","07-Sep-2007","        400.00","        402.00","        407.75","        402.00","        406.50","        405.00","        405.24","     132896","            53854198.05","-","      78678","         59.20"
"IOC","EQ","10-Sep-2007","        405.00","        395.50","        406.00","        387.00","        404.95","        403.95","        399.51","     272852","           109006153.60","-","     164209","         60.18"
"IOC","EQ","11-Sep-2007","        403.95","        406.00","        414.50","        401.00","        403.00","        403.45","        406.73","     494572","           201159060.20","-","     263928","         53.36"
"IOC","EQ","12-Sep-2007","        403.45","        411.50","        411.50","        391.00","        396.00","        394.70","        399.65","     196493","            78528160.80","-","      86644","         44.10"
"IOC","EQ","13-Sep-2007","        394.70","        397.85","        403.00","        394.00","        395.00","        395.15","        397.75","     205901","            81896296.20","-","     115985","         56.33"
"IOC","EQ","14-Sep-2007","        395.15","        396.00","        401.90","        391.00","        393.40","        392.40","        395.92","     181681","            71931388.70","-","     109266","         60.14"
"IOC","EQ","17-Sep-2007","        392.40","        395.50","        397.90","        388.50","        390.00","        389.25","        390.89","      91072","            35598956.10","-","      56265","         61.78"
"IOC","EQ","18-Sep-2007","        389.25","        389.00","        393.00","        386.00","        388.50","        389.90","        389.68","      71592","            27898305.00","-","      30699","         42.88"
"IOC","EQ","19-Sep-2007","        389.90","        390.05","        395.00","        385.35","        389.05","        388.15","        390.61","     141941","            55443286.45","-","     104570","         73.67"
"IOC","EQ","20-Sep-2007","        388.15","        389.00","        404.90","        389.00","        404.00","        400.60","        397.15","     501418","           199137661.50","-","     333151","         66.44"
"IOC","EQ","21-Sep-2007","        400.60","        400.00","        408.45","        400.00","        408.00","        406.25","        405.69","     324882","           131801482.45","-","     240787","         74.12"
"IOC","EQ","24-Sep-2007","        406.25","        407.75","        412.90","        402.50","        403.00","        404.10","        407.08","     243937","            99301219.85","-","     165436","         67.82"
"IOC","EQ","25-Sep-2007","        404.10","        408.00","        439.75","        408.00","        434.15","        435.60","        423.65","    1223846","           518486657.20","-","     598918","         48.94"
"IOC","EQ","26-Sep-2007","        435.60","        436.40","        483.00","        436.00","        471.00","        468.15","        459.48","    1179614","           542013949.95","-","     467718","         39.65"
"IOC","EQ","27-Sep-2007","        468.15","        479.85","        484.80","        449.75","        452.00","        451.50","        459.02","     474614","           217856404.60","-","     256120","         53.96"
"IOC","EQ","28-Sep-2007","        451.50","        421.00","        474.40","        421.00","        471.00","        470.45","        461.98","     468097","           216250980.95","-","     288939","         61.73"
"IOC","EQ","01-Oct-2007","        470.45","        451.50","        498.50","        451.50","        490.20","        492.25","        486.82","     728969","           354879763.00","-","     426877","         58.56"
"IOC","EQ","03-Oct-2007","        492.25","        498.00","        512.70","        487.00","        500.10","        500.40","        500.24","     996053","           498265453.90","-","     560441","         56.27"
"IOC","EQ","04-Oct-2007","        500.40","        492.50","        511.60","        488.50","        496.00","        496.35","        500.43","     679446","           340016185.10","-","     415379","         61.13"
"IOC","EQ","05-Oct-2007","        496.35","        471.00","        511.00","        471.00","        499.00","        502.75","        501.48","     596416","           299090122.00","-","     326533","         54.75"
"IOC","EQ","08-Oct-2007","        502.75","        500.00","        505.80","        467.00","        470.10","        476.25","        478.93","     529215","           253454294.70","-","     325775","         61.56"
